Czas	Masa[g]
2026-01-13 08:40:45.809285	0.000
2026-01-13 08:40:45.891960	0.000
2026-01-13 08:40:45.995338	0.000
2026-01-13 08:40:46.056830	0.000
2026-01-13 08:40:46.118505	0.000
2026-01-13 08:40:46.242678	0.000
2026-01-13 08:40:46.304654	0.000
2026-01-13 08:40:46.428549	0.000
2026-01-13 08:40:46.490182	0.000
2026-01-13 08:40:46.614938	0.000
2026-01-13 08:40:46.676834	0.000
2026-01-13 08:40:46.800678	0.000
2026-01-13 08:40:46.862731	0.000
2026-01-13 08:40:46.935080	0.000
2026-01-13 08:40:47.058243	0.000
2026-01-13 08:40:47.119474	0.000
2026-01-13 08:40:47.244126	0.000
2026-01-13 08:40:47.306272	0.000
2026-01-13 08:40:47.429184	0.000
2026-01-13 08:40:47.491181	0.000
2026-01-13 08:40:47.615266	0.000
2026-01-13 08:40:47.677627	0.000
2026-01-13 08:40:47.739432	0.000
2026-01-13 08:40:47.864175	0.000
2026-01-13 08:40:47.936187	0.000
2026-01-13 08:40:48.052572	0.000
2026-01-13 08:40:48.112242	0.000
2026-01-13 08:40:48.236772	0.000
2026-01-13 08:40:48.308711	0.000
2026-01-13 08:40:48.370550	0.000
2026-01-13 08:40:48.494454	0.000
2026-01-13 08:40:48.556385	0.000
2026-01-13 08:40:48.674571	0.000
2026-01-13 08:40:48.742016	0.000
2026-01-13 08:40:48.917619	0.000
2026-01-13 08:40:48.928179	0.000
2026-01-13 08:40:49.051595	0.000
2026-01-13 08:40:49.113695	0.000
2026-01-13 08:40:49.237798	0.000
2026-01-13 08:40:49.299800	0.000
2026-01-13 08:40:49.362076	0.000
2026-01-13 08:40:49.495841	0.000
2026-01-13 08:40:49.558243	0.000
2026-01-13 08:40:49.681850	0.000
2026-01-13 08:40:49.743387	0.000
2026-01-13 08:40:49.867349	0.000
2026-01-13 08:40:49.928828	0.000
2026-01-13 08:40:49.991037	0.000
2026-01-13 08:40:50.114417	0.000
2026-01-13 08:40:50.176271	0.000
2026-01-13 08:40:50.300182	0.000
2026-01-13 08:40:50.362771	0.000
2026-01-13 08:40:50.486774	0.000
2026-01-13 08:40:50.559036	0.000
2026-01-13 08:40:50.621221	0.000
2026-01-13 08:40:50.745576	0.000
2026-01-13 08:40:50.806775	0.000
2026-01-13 08:40:50.930185	0.000
2026-01-13 08:40:50.992261	0.000
2026-01-13 08:40:51.115255	0.000
2026-01-13 08:40:51.177276	0.000
2026-01-13 08:40:51.301664	0.000
2026-01-13 08:40:51.363899	0.000
2026-01-13 08:40:51.488095	0.000
2026-01-13 08:40:51.549845	0.000
2026-01-13 08:40:51.612015	0.000
2026-01-13 08:40:51.745775	0.000
2026-01-13 08:40:51.807518	0.000
2026-01-13 08:40:51.889897	0.000
2026-01-13 08:40:51.993519	0.000
2026-01-13 08:40:52.116831	0.000
2026-01-13 08:40:52.178289	0.000
2026-01-13 08:40:52.240194	0.000
2026-01-13 08:40:52.364608	0.000
2026-01-13 08:40:52.426991	0.000
